Dataset,Setup,Prompt Version,Generator Model,Skeptic Model,Judge Model,Accuracy,F1_Macro,Maybe_Recall,Δ Accuracy,p-value,CI_Lower,CI_Upper,CI_Width,Cohens_d,Effect_Size,Unknown Rate,Samples,Hard %,Medium %,Easy %,Both Correct,Fixed by Debate,Broke by Debate,Both Wrong,Net Impact,Precision_yes,Recall_yes,F1_yes,Precision_no,Recall_no,F1_no,Precision_maybe,Recall_maybe,F1_maybe,Total_Tokens,Tokens_per_Question,Precision_A,Recall_A,F1_A,Precision_B,Recall_B,F1_B,Precision_C,Recall_C,F1_C,Precision_D,Recall_D,F1_D
MMLU,3-stage (Debate),v3_skeptic_strict,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,64.0%,0.7588,,-22.3%,0.0068**,0.5423540245160874,0.7272877959859567,0.1849337714698693,-0.5341175645683163,medium,34.0%,100,7.0%,22.0%,71.0%,55,9,26,10,-17 (HURT),,,,,,,,,,317649,3176.5,1,0.5,0.6667,0.95,0.76,0.8444,0.9375,0.6,0.7317,1,0.6562,0.7925
PUBMEDQA,1-stage (Baseline),v1_baseline,meta-llama/llama-4-scout-17b-16e-instruct,-,-,65.0%,0.5918,0.4,-,-,0.5525444329688796,0.7363575175690247,0.1838130846001451,,,0.0%,100,31.0%,15.0%,54.0%,-,-,-,-,-,0.7619,0.7111,0.7356,0.8182,0.675,0.7397,0.24,0.4,0.3,37989,379.9,,,,,,,,,,,,
PUBMEDQA,1-stage (Baseline),v1_baseline,qwen/qwen3-32b,-,-,71.0%,0.6356,0.4,-,-,0.6146110882442888,0.7898516425087772,0.1752405542644883,,,0.0%,100,31.0%,15.0%,54.0%,-,-,-,-,-,0.78,0.8667,0.8211,0.8125,0.65,0.7222,0.3333,0.4,0.3636,82008,820.1,,,,,,,,,,,,
PUBMEDQA,1-stage (Baseline),v1_baseline,llama-3.1-8b-instant,-,-,60.0%,0.5319,0.2,-,-,0.5020025867910618,0.6905987135675411,0.1885961267764793,,,7.0%,100,31.0%,15.0%,54.0%,-,-,-,-,-,0.7209,0.6889,0.7045,0.7222,0.65,0.6842,0.2143,0.2,0.2069,42222,422.2,,,,,,,,,,,,
PUBMEDQA,1-stage (Baseline),v1_baseline,llama-3.3-70b-versatile,-,-,70.0%,0.6023,0.1333,-,-,0.6041514536665332,0.7810511470506724,0.1768996933841391,,,10.0%,100,31.0%,15.0%,54.0%,-,-,-,-,-,0.7826,0.8,0.7912,0.7619,0.8,0.7805,1,0.1333,0.2353,41480,414.8,,,,,,,,,,,,
PUBMEDQA,1-stage (Baseline),v1_cot,llama-3.3-70b-versatile,-,-,71.0%,0.5116,0.0,-,-,0.6146110882442888,0.7898516425087772,0.1752405542644883,,,0.0%,100,31.0%,15.0%,54.0%,-,-,-,-,-,0.7255,0.8222,0.7708,0.6939,0.85,0.764,0,0,0,68712,687.1,,,,,,,,,,,,
PUBMEDQA,1-stage (Baseline),v2_structured,llama-3.3-70b-versatile,-,-,68.0%,0.5182,0.0,-,-,0.5833738138954762,0.7633085267500092,0.179934712854533,,,9.0%,100,31.0%,15.0%,54.0%,-,-,-,-,-,0.717,0.8444,0.7755,0.8108,0.75,0.7792,0,0,0,80135,801.4,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v1_baseline,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,70.0%,0.6166,0.2,+2.5%,0.0442*,0.6041514536665332,0.7810511470506724,0.1768996933841391,0.0539556127885026,negligible,8.0%,100,31.0%,15.0%,54.0%,66.0,4.0,6.0,24.0,-2 (HURT),0.8049,0.7333,0.7674,0.7727,0.85,0.8095,0.4286,0.2,0.2727,142705,1427.0,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v2_structured,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,44.0%,0.3226,0.7333,-23.5%,< 0.001***,0.3467202663016079,0.5377189534832302,0.1909986871816222,-0.4869616640797213,small,0.0%,100,31.0%,15.0%,54.0%,28.0,16.0,30.0,26.0,-14 (HURT),0.6923,0.2,0.3103,0.7857,0.275,0.4074,0.1507,0.7333,0.25,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v2_structured,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,68.0%,0.3226,0.7333,+0.0%,0.6625,0.5833738138954762,0.7633085267500092,0.179934712854533,0.0,negligible,0.0%,100,31.0%,15.0%,54.0%,56,12,9,23,+3 (HELPED),0.6923,0.2,0.3103,0.7857,0.275,0.4074,0.1507,0.7333,0.25,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v3_skeptic_strict,meta-llama/llama-4-scout-17b-16e-instruct,meta-llama/llama-4-scout-17b-16e-instruct,meta-llama/llama-4-scout-17b-16e-instruct,14.0%,0.0826,0.9333,-53.5%,< 0.001***,0.0852634365993913,0.2213718821096383,0.136108445510247,-1.2979951487111003,large,0.0%,100,31.0%,15.0%,54.0%,0.0,10.0,47.0,43.0,-37 (HURT),0,0,0,0,0,0,0.1429,0.9333,0.2478,388301,3883.0,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v3_skeptic_strict,qwen/qwen3-32b,qwen/qwen3-32b,qwen/qwen3-32b,31.0%,0.3143,0.8,-36.5%,< 0.001***,0.2277969721237603,0.406260557194894,0.1784635850711337,-0.7841985714457911,medium,0.0%,100,31.0%,15.0%,54.0%,3.0,6.0,49.0,42.0,-43 (HURT),0.8,0.1778,0.2909,0.5789,0.275,0.3729,0.169,0.8,0.2791,795190,7951.9,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v3_skeptic_strict,llama-3.1-8b-instant,llama-3.1-8b-instant,llama-3.1-8b-instant,23.0%,0.2169,0.9333,-44.5%,< 0.001***,0.1584326588030344,0.3215438302287378,0.1631111714257033,-0.999463883024902,large,4.0%,100,31.0%,15.0%,54.0%,0.0,20.0,7.0,73.0,+13 (HELPED),1,0.0444,0.0851,0.7778,0.175,0.2857,0.1647,0.9333,0.28,420289,4202.9,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v3_skeptic_strict,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,15.0%,0.087,1.0,-52.5%,< 0.001***,0.0930598528365663,0.2328355959083236,0.1397757430717573,-1.260630472894095,large,0.0%,100,31.0%,15.0%,54.0%,0.0,15.0,56.0,29.0,-41 (HURT),0,0,0,0,0,0,0.15,1,0.2609,363829,3638.3,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v5_angel_devil,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,67.0%,0.5143,0.0667,-1.0%,0.8383,0.5730534379509052,0.7543687726587197,0.1813153347078144,-0.0213516371595103,negligible,0.0%,100,31.0%,15.0%,54.0%,54,13,11,22,+2 (HELPED),0.6056,0.9556,0.7414,0.8214,0.575,0.6765,1,0.0667,0.125,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Debate),v5_counter_argument,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.3-70b-versatile,49.0%,0.372,0.0667,-19.0%,0.0237*,0.3942199893044113,0.5865198806597283,0.1922998913553169,-0.3929866443962144,small,0.0%,100,31.0%,15.0%,54.0%,35,14,30,21,-16 (HURT),0.7222,0.2889,0.4127,0.4605,0.875,0.6034,0.2,0.0667,0.1,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,qwen/qwen3-32b,llama-3.3-70b-versatile,qwen/qwen3-32b,36.0%,0.373,0.7333,-35.0%,< 0.001***,0.2727122040140433,0.4576459754839126,0.1849337714698693,-0.7493598765720578,medium,0.0%,100,31.0%,15.0%,54.0%,25,11,40,24,-29 (HURT),0.6667,0.2222,0.3333,0.8333,0.375,0.5172,0.1642,0.7333,0.2683,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,llama-3.3-70b-versatile,qwen/qwen3-32b,31.0%,0.3226,0.7333,-37.0%,< 0.001***,0.2277969721237603,0.406260557194894,0.1784635850711337,-0.7965743573807885,medium,0.0%,100,31.0%,15.0%,54.0%,24,7,41,28,-34 (HURT),0.6923,0.2,0.3103,0.7857,0.275,0.4074,0.1507,0.7333,0.25,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,qwen/qwen3-32b,llama-3.3-70b-versatile,24.0%,0.235,0.7333,-44.0%,< 0.001***,0.1669132555694877,0.3323233634981447,0.165410107928657,-0.9838699100999072,large,0.0%,100,31.0%,15.0%,54.0%,18,6,47,29,-41 (HURT),0.6923,0.2,0.3103,0.7857,0.275,0.4074,0.1507,0.7333,0.25,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,qwen/qwen3-32b,llama-3.3-70b-versatile,llama-3.3-70b-versatile,39.0%,0.4027,0.5333,-32.0%,< 0.001***,0.3001687400639441,0.4879698295415926,0.1878010894776485,-0.6793151921154467,medium,0.0%,100,31.0%,15.0%,54.0%,30,9,35,26,-26 (HURT),0.6667,0.2222,0.3333,0.8333,0.375,0.5172,0.1642,0.7333,0.2683,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,llama-3.3-70b-versatile,llama-3.1-8b-instant,34.0%,0.3543,0.8667,-34.0%,< 0.001***,0.2546152079734816,0.4372227114527537,0.1826075034792721,-0.723240570679579,medium,0.0%,100,31.0%,15.0%,54.0%,23,11,42,24,-31 (HURT),0.6923,0.2,0.3103,0.7857,0.275,0.4074,0.1507,0.7333,0.25,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,llama-3.3-70b-versatile,llama-3.1-8b-instant,llama-3.3-70b-versatile,44.0%,0.4421,0.6667,-24.0%,0.0023**,0.3467202663016079,0.5377189534832302,0.1909986871816222,-0.4982728791224396,small,0.0%,100,31.0%,15.0%,54.0%,33,11,32,24,-21 (HURT),0.6923,0.2,0.3103,0.7857,0.275,0.4074,0.1507,0.7333,0.25,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,llama-3.1-8b-instant,llama-3.3-70b-versatile,llama-3.3-70b-versatile,32.0%,0.3214,0.8667,-28.0%,< 0.001***,0.2366914732499909,0.4166261861045238,0.1799347128545329,-0.5853694070049636,medium,0.0%,100,31.0%,15.0%,54.0%,23,9,42,26,-33 (HURT),0.8125,0.2889,0.4262,0.8571,0.15,0.2553,0.1688,0.8667,0.2826,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,llama-3.1-8b-instant,llama-3.3-70b-versatile,llama-3.1-8b-instant,33.0%,0.3468,0.7333,-27.0%,< 0.001***,0.2456312273412803,0.4269465620490947,0.1813153347078143,-0.5623169838897386,medium,0.0%,100,31.0%,15.0%,54.0%,18,15,47,20,-32 (HURT),0.8125,0.2889,0.4262,0.8571,0.15,0.2553,0.1688,0.8667,0.2826,,,,,,,,,,,,,,
PUBMEDQA,3-stage (Heterogeneous),v2_structured,llama-3.1-8b-instant,qwen/qwen3-32b,meta-llama/llama-4-scout-17b-16e-instruct,21.0%,0.1907,0.8667,-39.0%,< 0.001***,0.141656540619153,0.2997996883408986,0.1581431477217456,-0.865705305675635,large,0.0%,100,31.0%,15.0%,54.0%,14,7,51,28,-44 (HURT),0.8125,0.2889,0.4262,0.8571,0.15,0.2553,0.1688,0.8667,0.2826,,,,,,,,,,,,,,
